Amount reserved for voluntary CEIS in 
SY 2016-17 ($)","Voluntary CEIS
Percent taken for voluntary CEIS during 
SY 2016-17 (%)","Total number of children receiving CEIS under the IDEA in the LEA/ESA during 
2016,Alabama,Covington County,,0100930,2014-15,720272,720166,-106,42939,763105,114465.75,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Crenshaw County,,0100960,2014-15,481785,483284,1499,9951,493235,73985.25,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Cullman City,,0100990,2014-15,598240,605009,6769,25514,630523,94578.45,1,3384,99.99,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Cullman County,,0101020,2014-15,1986556,1962700,-23856,53234,2015934,302390.1,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Dale County,,0101050,2014-15,669448,683009,13561,12169,695178,104276.7,1,6780,99.99,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Daleville City,,0101080,2014-15,291037,294300,3263,8959,303259,45488.85,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Dallas County,,0101110,2014-15,840169,878225,38056,17428,895653,134347.95,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,DeKalb County,,0101140,2014-15,1885348,1915524,30176,38396,1953920,293088,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Decatur City,,0101170,2014-15,1811464,1873560,62096,49106,1922666,288399.9,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Demopolis City,,0101200,2014-15,423276,438473,15197,13509,451982,67797.3,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Dothan City,,0101230,2014-15,2138948,2181512,42564,112077,2293589,344038.35,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Elba City,,0101260,2014-15,173963,174173,210,5789,179962,26994.3,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Elmore County,,0101290,2014-15,2267813,2292771,24958,49223,2341994,351299.1,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Enterprise City,,0101320,2014-15,1200938,1240087,39149,21553,1261640,189246,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Escambia County,,0101350,2014-15,1011478,1025189,13711,26564,1051753,157762.95,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Etowah County,,0101380,2014-15,1953953,1892086,-61867,40177,1932263,289839.45,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Eufaula City,,0101410,2014-15,569582,583715,14133,16297,600012,90001.8,1,7066,99.99,1,1,+,+,0,+,+,+,+,+,0,0,+,0,0,14
